GENESIS-Tabelle: 21411-0002
BAföG - Geförderte Personen und finanzieller Aufwand:;;;;;;;;;;;;;;;;;;;
Bundesländer, Jahre, Personenkreis;;;;;;;;;;;;;;;;;;;
Statistik der Bundesausbildungsförderung (BAföG);;;;;;;;;;;;;;;;;;;
;;Schüler;Schüler;Schüler;Schüler;Schüler;Schüler;Studierende;Studierende;Studierende;Studierende;Studierende;Studierende;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt
;;Geförderte Personen;Personen mit Vollförderung;Personen mit Teilförderung;Geförderte Personen (durchschnittl. Monatsbestand);Finanzieller Aufwand;Durchschnittl. monatl. Förderungsbetrag pro Person;Geförderte Personen;Personen mit Vollförderung;Personen mit Teilförderung;Geförderte Personen (durchschnittl. Monatsbestand);Finanzieller Aufwand;Durchschnittl. monatl. Förderungsbetrag pro Person;Geförderte Personen;Personen mit Vollförderung;Personen mit Teilförderung;Geförderte Personen (durchschnittl. Monatsbestand);Finanzieller Aufwand;Durchschnittl. monatl. Förderungsbetrag pro Person
;;Anzahl;Anzahl;Anzahl;Anzahl;Tsd. EUR;EUR;Anzahl;Anzahl;Anzahl;Anzahl;Tsd. EUR;EUR;Anzahl;Anzahl;Anzahl;Anzahl;Tsd. EUR;EUR
Baden-Württemberg;1991;23517;8777;14740;13226;39356;248;63113;17832;45281;44780;155659;290;86638;26615;60023;58010;195034;280
Baden-Württemberg;1992;22190;7947;14243;12536;37344;248;63505;17052;46453;45255;157428;290;85701;25003;60698;57793;194785;281
Baden-Württemberg;1993;19704;7227;12477;11100;34276;257;60397;16380;44017;42659;153195;299;80106;23611;56495;53763;187484;291
Baden-Württemberg;1994;19345;8545;10800;10967;35231;268;54907;15175;39732;38719;138602;298;74256;23723;50533;49687;173839;292
Baden-Württemberg;1995;19977;10050;9927;11279;37939;280;49614;15035;34579;34423;126319;306;69597;25090;44507;45705;164270;300
Baden-Württemberg;1996;19525;9402;10123;11327;38824;286;44394;13919;30475;30048;116930;324;63923;23324;40599;41378;155766;314
Baden-Württemberg;1997;18122;8169;9953;10329;34080;275;37972;11366;26606;25226;97296;321;56096;19537;36559;35557;131383;308
Baden-Württemberg;1998;16991;7351;9640;9714;31468;270;34935;10361;24574;22920;87527;318;51927;17713;34214;32634;118997;304
Baden-Württemberg;1999;17034;6391;10643;9679;30645;264;33856;9890;23966;21868;84715;323;50892;16283;34609;31548;115364;305
Baden-Württemberg;2000;17228;5656;11572;9752;30004;256;34820;9394;25426;22399;87198;324;52052;15053;36999;32153;117211;304
Baden-Württemberg;2001;19824;12246;7578;10884;40967;314;40322;10158;30164;25466;111117;364;60150;22407;37743;36353;152099;349
Baden-Württemberg;2002;21625;13173;8452;12213;47964;327;46209;14424;31785;30222;131622;363;67837;27598;40239;42438;179591;353
Baden-Württemberg;2003;22609;13423;9186;12945;49982;322;50814;15576;35238;33578;142777;354;73424;28999;44425;46524;192765;345
Baden-Württemberg;2004;22823;13410;9413;13214;50563;319;53178;15884;37294;35140;148469;352;76001;29294;46707;48354;199033;343
Baden-Württemberg;2005;22101;12996;9105;12721;48336;317;54365;16501;37864;35482;151357;355;76468;29497;46971;48204;199698;345
Baden-Württemberg;2006;21184;12359;8825;12315;45815;310;53250;16155;37095;35001;149659;356;74435;28514;45921;47316;195477;344
Baden-Württemberg;2007;20773;12376;8397;11998;44314;308;51332;15891;35441;33096;141276;356;72107;28269;43838;45095;185595;343
Baden-Württemberg;2008;21640;13537;8103;12230;47231;322;52388;17781;34607;32558;147283;377;74032;31321;42711;44790;194522;362
Baden-Württemberg;2009;22878;14307;8571;13313;54594;342;56985;19157;37828;35648;176131;412;79865;33465;46400;48962;230734;393
Baden-Württemberg;2010;22943;14159;8784;13137;55837;354;62469;20968;41501;39084;192985;411;85414;35127;50287;52221;248825;397
Baden-Württemberg;2011;22166;13397;8769;12822;61727;401;68050;22469;45581;42777;217915;425;90221;35870;54351;55601;279658;419
Baden-Württemberg;2012;21220;12659;8561;12385;65295;439;74114;23799;50315;46185;234678;423;95334;36458;58876;58570;299973;427
Baden-Württemberg;2013;19717;12188;7529;11495;64074;465;74770;24331;50439;46781;236262;421;94487;36519;57968;58276;300336;429
Baden-Württemberg;2014;18264;10940;7324;10593;65305;514;72076;23205;48871;44632;226896;424;90340;34145;56195;55225;292201;441
