Bundesland;Zahl_2003;Eltern;Privat;WG;Wohnheim
Baden-Württemberg;8508;0,2144247767;0,3125216267;0,254908204;0,1502547015
Bayern;9093;0,2347501375;0,3390326625;0,1773139778;0,1828903552
Berlin;3176;0,209;0,488;0,2;0,073
Brandenburg;1370;0,2362883212;0,3343372263;0,1744277372;0,226650365
Bremen;647;0,2677449768;0,4160432767;0,1686615147;0,0790958269
Hamburg;1554;0,217;0,477;0,202;0,057
Hessen;4881;0,2589301373;0,364242983;0,220199959;0,0926851055
Mecklenburg-Vorpommern;1700;0,1382047059;0,3625658824;0,3209894118;0,1535529412
Niedersachsen;4456;0,1296097397;0,4027039946;0,2666012118;0,14580386
Nordrhein-Westfalen;9992;0,2510226181;0,3855950761;0,3855950761;0,1837854283
Rheinland-Pfalz;2705;0,2120125693;0,3646399261;0,1823408503;0,1835789279
Saarland;718;0,4276754875;0,3192980501;0,8534888579;0,1042715877
Sachsen;4147;0,2337665782;0,2788799132;0,2551316614;0,21572245
Sachsen-Anhalt;1809;0,2426793809;0,3222172471;0,22613267;0,1877423991
Schleswig-Holstein;1799;0,1402440245;0,4310239022;0,2934446915;0,0798799333
Thüringen;2224;0,1585206835;0,2374366007;0,3590903777;0,2099721223
